#Onset,Duration,Annotation
2002-02-05T01:37:53.0000000,30,???
2002-02-05T01:38:23.0000000,30,???
2002-02-05T01:38:53.0000000,30,???
2002-02-05T01:39:23.0000000,30,???
2002-02-05T01:39:53.0000000,30,???
2002-02-05T01:40:23.0000000,30,???
2002-02-05T01:40:53.0000000,30,???
2002-02-05T01:41:23.0000000,30,???
2002-02-05T01:41:53.0000000,30,???
2002-02-05T01:42:23.0000000,30,???
2002-02-05T01:42:53.0000000,30,???
2002-02-05T01:43:23.0000000,30,???
2002-02-05T01:43:53.0000000,30,???
2002-02-05T01:44:23.0000000,30,???
2002-02-05T01:44:53.0000000,30,???
2002-02-05T01:45:23.0000000,30,???
2002-02-05T01:45:53.0000000,30,???
2002-02-05T01:46:23.0000000,30,???
2002-02-05T01:46:53.0000000,30,???
2002-02-05T01:47:23.0000000,30,???
2002-02-05T01:47:53.0000000,30,???
2002-02-05T01:48:23.0000000,30,???
2002-02-05T01:48:53.0000000,30,???
2002-02-05T01:49:23.0000000,30,???
2002-02-05T01:49:53.0000000,30,???
2002-02-05T01:50:23.0000000,30,???
2002-02-05T01:50:53.0000000,30,???
2002-02-05T01:51:23.0000000,30,???
2002-02-05T01:51:53.0000000,30,???
2002-02-05T01:52:23.0000000,30,???
2002-02-05T01:52:53.0000000,30,???
2002-02-05T01:53:23.0000000,30,???
2002-02-05T01:53:53.0000000,30,???
2002-02-05T01:54:23.0000000,30,???
2002-02-05T01:54:53.0000000,30,???
2002-02-05T01:55:23.0000000,30,???
2002-02-05T01:55:53.0000000,30,???
2002-02-05T01:56:23.0000000,30,???
2002-02-05T01:56:53.0000000,30,???
2002-02-05T01:57:23.0000000,30,???
2002-02-05T01:57:53.0000000,30,???
2002-02-05T01:58:23.0000000,30,???
2002-02-05T01:58:53.0000000,30,???
2002-02-05T01:59:23.0000000,30,???
2002-02-05T01:59:53.0000000,30,???
2002-02-05T02:00:23.0000000,30,???
2002-02-05T02:00:53.0000000,30,???
2002-02-05T02:01:23.0000000,30,???
2002-02-05T02:01:53.0000000,30,???
2002-02-05T02:02:23.0000000,30,???
2002-02-05T02:02:53.0000000,30,???
2002-02-05T02:03:23.0000000,30,???
2002-02-05T02:03:53.0000000,30,???
2002-02-05T02:04:23.0000000,30,???
2002-02-05T02:04:53.0000000,30,???
2002-02-05T02:05:23.0000000,30,???
2002-02-05T02:05:53.0000000,30,???
2002-02-05T02:06:23.0000000,30,???
2002-02-05T02:06:53.0000000,30,???
